"x","y"
"-14.71599175621466","NaN"
"-14.532962083652393","NaN"
"-14.300112809093049","NaN"
"-13.906053398828782","NaN"
"-13.784282929788898","NaN"
"-13.251812563600817","NaN"
"-12.974032366305847","NaN"
"-12.787145868235854","NaN"
"-12.43121412838228","NaN"
"-12.147950022065649","NaN"
"-11.923616531645527","NaN"
"-11.686070348746238","NaN"
"-11.365284579550801","NaN"
"-10.827085126138137","NaN"
"-10.555258003571073","NaN"
"-10.280484852244383","NaN"
"-10.195778753888641","NaN"
"-9.857714981188522","NaN"
"-9.563487715185781","NaN"
"-9.078418230451591","NaN"
"-8.87936443594612","NaN"
"-8.648724018263993","NaN"
"-8.181121563347114","NaN"
"-8.053076083058887","NaN"
"-7.521716745241163","NaN"
"-7.271165676362266","NaN"
"-6.971171689531926","NaN"
"-6.8801603434825","NaN"
"-6.377884533387033","NaN"
"-6.028512559495852","NaN"
"-5.787295389955428","NaN"
"-5.627937383224349","NaN"
"-5.227635205426203","NaN"
"-4.944213604009869","NaN"
"-4.557386735137134","NaN"
"-4.222653060123805","NaN"
"-3.9501582883766955","NaN"
"-3.640572531353966","NaN"
"-3.5383730168659993","NaN"
"-3.2748810432520767","NaN"
"-2.9862779141847846","NaN"
"-2.6287626106064916","NaN"
"-2.2493602714549183","NaN"
"-2.006004484334495","NaN"
"-1.5557187516748","NaN"
"-1.416218647616805","NaN"
"-1.0149789812525607","NaN"
"-0.7582689557746976","NaN"
"-0.4919893983087187","NaN"
"-0.16469775133831863","NaN"
"0.2588868230193104","-1.3513642895441853"
"0.5932918654871076","-0.5220688164349803"
"0.6319080338039929","-0.459011411556702"
"0.9000236607877679","-0.10533422623920959"
"1.4988466451075468","0.40469590908880027"
"1.683268093805851","0.5207371977131796"
"1.887464142957607","0.6352342048520427"
"2.117548459408353","0.7502590324809602"
"2.5675047408472804","0.9429345093027197"
"2.892720202216437","1.0621973058713505"
"3.1429714005807527","1.1451686583724248"
"3.403159020085638","1.2247041238086007"
"3.669785952966556","1.3001333369232455"
"3.91381896492789","1.3645136146920844"
"4.485264222231538","1.5007974062016975"
"4.591274309173862","1.5241576128121284"
"4.822324871893513","1.573256150341773"
"5.2782743199798405","1.6635992109593634"
"5.538853080379388","1.7117874541242406"
"5.834143308690454","1.763727435540548"
"6.127700008153273","1.812819476956908"
"6.497560299028527","1.8714267678334284"
"6.72164643669394","1.9053331299865297"
"6.907053470854127","1.9325431316222774"
"7.211212456125443","1.9756371002832191"
"7.684329994006748","2.0391831895863017"
"7.972059699645948","2.0759428909885833"
"8.15990710433022","2.099232784637957"
"8.528201632269457","2.1433785107027856"
"8.955176162770588","2.1922317073203663"
"9.262290812951111","2.2259514060704"
"9.402967823053732","2.241025365301818"
"9.834558690023135","2.2859025794588916"
"10.055029848610976","2.308072991754369"
"10.476897666331528","2.3491726108640756"
"10.521903372207985","2.35345911986101"
"11.032140969625958","2.400812918656818"
"11.193001109445335","2.4152886820266946"
"11.484542921192428","2.4410020374555415"
"11.783950423102693","2.466738472014912"
"12.154209062779415","2.497675534715416"
"12.538352581380414","2.528792153478913"
"12.663877274690423","2.538753631651339"
"13.023101124975463","2.56672479006142"
"13.343800842910836","2.5910519206632006"
"13.793558500250388","2.624201707845461"
"13.862012740181232","2.6291522025677434"
"14.377660379720815","2.665675639453716"
"14.6001248918139","2.681030082911532"
"14.739038316542905","2.6904996415217015"
